TambonThai,TambonEng,TambonThaiShort,TambonEngShort,DistrictThai,DistrictEng,DistrictThaiShort,DistrictEngShort,ProvinceThai,ProvinceEng,PostCodeMain
แขวงพระบรมมหาราชวัง,Khwaeng Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงวังบูรพาภิรมย์,Khwaeng Wang Burapha Phirom,วังบูรพาภิรมย์,Wang Burapha Phirom,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงวัดราชบพิธ,Khwaeng Wat Ratchabophit,วัดราชบพิธ,Wat Ratchabophit,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงสำราญราษฎร์,Khwaeng Samran Rat,สำราญราษฎร์,Samran Rat,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงศาลเจ้าพ่อเสือ,Khwaeng San Chao Pho Suea,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงเสาชิงช้า,Khwaeng Sao Chingcha,เสาชิงช้า,Sao Chingcha,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงบวรนิเวศ,Khwaeng Bowon Niwet,บวรนิเวศ,Bowon Niwet,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงตลาดยอด,Khwaeng Talat Yot,ตลาดยอด,Talat Yot,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงชนะสงคราม,Khwaeng Chana Songkhram,ชนะสงคราม,Chana Songkhram,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงบ้านพานถม,Khwaeng Ban Phan Thom,บ้านพานถม,Ban Phan Thom,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงบางขุนพรหม,Khwaeng Bang Khun Phrom,บางขุนพรหม,Bang Khun Phrom,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงวัดสามพระยา,Khwaeng Wat Sam Phraya,วัดสามพระยา,Wat Sam Phraya,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงดุสิต,Khwaeng Dusit,ดุสิต,Dusit,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงวชิรพยาบาล,Khwaeng Wachira Phayaban,วชิรพยาบาล,Wachira Phayaban,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงสวนจิตรลดา,Khwaeng Suan Chitlada,สวนจิตรลดา,Suan Chitlada,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงสี่แยกมหานาค,Khwaeng Si Yaek Mahanak,สี่แยกมหานาค,Si Yaek Mahanak,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงถนนนครไชยศรี,Khwaeng Thanon Nakhon Chai Si,ถนนนครไชยศรี,Thanon Nakhon Chai Si,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงกระทุ่มราย,Khwaeng Krathum Rai,กระทุ่มราย,Krathum Rai,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงหนองจอก,Khwaeng Nong Chok,หนองจอก,Nong Chok,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงคลองสิบ,Khwaeng Khlong Sip,คลองสิบ,Khlong Sip,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงคลองสิบสอง,Khwaeng Khlong Sip Song,คลองสิบสอง,Khlong Sip Song,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงโคกแฝด,Khwaeng Khok Faet,โคกแฝด,Khok Faet,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงคู้ฝั่งเหนือ,Khwaeng Khu Fang Nuea,คู้ฝั่งเหนือ,Khu Fang Nuea,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงลำผักชี,Khwaeng Lam Phak Chi,ลำผักชี,Lam Phak Chi,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงลำต้อยติ่ง,Khwaeng Lam Toiting,ลำต้อยติ่ง,Lam Toiting,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงมหาพฤฒาราม,Khwaeng Maha Phruettharam,มหาพฤฒาราม,Maha Phruettharam,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงสีลม,Khwaeng Si Lom,สีลม,Si Lom,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงสุริยวงศ์,Khwaeng Suriyawong,สุริยวงศ์,Suriyawong,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงบางรัก,Khwaeng Bang Rak,บางรัก,Bang Rak,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงสี่พระยา,Khwaeng Si Phraya,สี่พระยา,Si Phraya,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
